box,cls,model,total,training,step,mode,validation
0.0023067705,0.17824285,0.29358134,0.40953955,0.40953955,88000,train,
0.0071899937,0.33787188,0.6973716,0.81319696,,88000,eval,0.81319696
0.0023815723,0.18047467,0.29955322,0.4152463,0.4152463,89000,train,
0.0070583913,0.33550972,0.6884293,0.80398995,,89000,eval,0.80398995
0.0023912298,0.18191786,0.30147952,0.4169079,0.4169079,90000,train,
0.0072242077,0.3390718,0.70028216,0.8155788,,90000,eval,0.8155788
0.0023444756,0.17991081,0.2971347,0.41230038,0.41230038,91000,train,
0.007090808,0.33386362,0.68840396,0.80343837,,91000,eval,0.80343837
0.0023146716,0.17776588,0.2934993,0.40840307,0.40840307,92000,train,
0.0070684263,0.32620537,0.67962676,0.7943989,,92000,eval,0.7943989
0.0023063924,0.17711082,0.2924306,0.4070722,0.4070722,93000,train,
0.00745651,0.3333259,0.70615137,0.8206621,,93000,eval,0.8206621
0.002380975,0.18115726,0.30020627,0.41458696,0.41458696,94000,train,
0.0072106654,0.3357349,0.6962682,0.8105184,,94000,eval,0.8105184
0.002330405,0.17859884,0.2951191,0.40923938,0.40923938,95000,train,
0.006859104,0.3279142,0.67086947,0.7848601,,95000,eval,0.7848601
0.0023324532,0.17814071,0.29476374,0.40862426,0.40862426,96000,train,
0.0072644213,0.33215,0.69537115,0.8091027,,96000,eval,0.8091027
0.002284016,0.17572953,0.28993025,0.40353268,0.40353268,97000,train,
0.007027118,0.32933807,0.680694,0.79416806,,97000,eval,0.79416806
0.0023479087,0.17897204,0.29636773,0.4097128,0.4097128,98000,train,
0.0073531833,0.33924955,0.70690876,0.8201255,,98000,eval,0.8201255
0.0022924193,0.17618915,0.29081008,0.40389892,0.40389892,99000,train,
0.0075046495,0.3268812,0.7021137,0.8150745,,99000,eval,0.8150745
0.002356455,0.1780894,0.29591194,0.40874514,0.40874514,100000,train,
0.0070465836,0.3298427,0.6821718,0.7948773,,100000,eval,0.7948773
0.0023343835,0.17810187,0.29482114,0.40739948,0.40739948,101000,train,
0.0069549885,0.32480863,0.67255807,0.7850089,,101000,eval,0.7850089
0.0022673425,0.17392237,0.28728968,0.39961368,0.39961368,102000,train,
0.0070283487,0.32500374,0.67642117,0.7886185,,102000,eval,0.7886185
0.0022786623,0.17504348,0.28897664,0.40104735,0.40104735,103000,train,
0.007209503,0.3302812,0.6907563,0.8027007,,103000,eval,0.8027007
0.0023101668,0.17608799,0.29159617,0.40341458,0.40341458,104000,train,
0.007529635,0.3314984,0.70798016,0.81967276,,104000,eval,0.81967276
0.002333772,0.1769132,0.29360193,0.40516877,0.40516877,105000,train,
0.006877772,0.3260083,0.66989684,0.7813387,,105000,eval,0.7813387
0.0022822032,0.1753075,0.2894178,0.40073442,0.40073442,106000,train,
0.0069288816,0.33323693,0.67968106,0.7908721,,106000,eval,0.7908721
0.0022096243,0.17108262,0.28156358,0.39263025,0.39263025,107000,train,
0.007121093,0.32452226,0.6805769,0.7915186,,107000,eval,0.7915186
0.0022409593,0.1729441,0.2849923,0.39580998,0.39580998,108000,train,
0.006653354,0.3175223,0.65019,0.7608837,,108000,eval,0.7608837
0.0022589283,0.1732595,0.28620577,0.39677554,0.39677554,109000,train,
0.0075582,0.33283213,0.7107422,0.82118833,,109000,eval,0.82118833
0.0022740432,0.17338456,0.28708667,0.39741006,0.39741006,110000,train,
0.0071752965,0.3349183,0.69368315,0.8038831,,110000,eval,0.8038831
0.0022859052,0.17429158,0.28858662,0.39866364,0.39866364,111000,train,
0.006769743,0.31804046,0.6565276,0.7664815,,111000,eval,0.7664815
0.002231172,0.17129819,0.28285676,0.39268848,0.39268848,112000,train,
0.0070699416,0.3201881,0.6736852,0.7833944,,112000,eval,0.7833944
0.002283897,0.17363758,0.28783253,0.39741954,0.39741954,113000,train,
0.007008291,0.3319362,0.68235075,0.79181576,,113000,eval,0.79181576
0.0022542065,0.17179333,0.28450367,0.393847,0.393847,114000,train,
0.0070110294,0.32750776,0.6780592,0.7872813,,114000,eval,0.7872813
0.0022292323,0.17102145,0.28248292,0.39158425,0.39158425,115000,train,
0.007116802,0.32875198,0.6845921,0.7935719,,115000,eval,0.7935719
0.0022088827,0.1696186,0.28006306,0.3889222,0.3889222,116000,train,
0.0070332177,0.3204996,0.6721605,0.7808993,,116000,eval,0.7808993
0.0022326051,0.17086868,0.28249896,0.3911175,0.3911175,117000,train,
0.006685352,0.3241875,0.6584551,0.7669535,,117000,eval,0.7669535
0.002221262,0.16957735,0.28064033,0.38901922,0.38901922,118000,train,
0.006773504,0.31940028,0.6580755,0.76633424,,118000,eval,0.76633424
0.002157123,0.16700852,0.2748646,0.383004,0.383004,119000,train,
0.00692565,0.32528824,0.6715707,0.7795909,,119000,eval,0.7795909
0.0021960852,0.16783316,0.2776376,0.38553876,0.38553876,120000,train,
0.0071195965,0.32410446,0.6800843,0.7878665,,120000,eval,0.7878665
0.0021795575,0.16747591,0.2764538,0.3841173,0.3841173,121000,train,
0.006486942,0.31686538,0.6412125,0.74875844,,121000,eval,0.74875844
0.002153113,0.16663429,0.27429,0.38171834,0.38171834,122000,train,
0.006928388,0.31881967,0.6652391,0.7725491,,122000,eval,0.7725491
0.0021742142,0.16759531,0.27630615,0.3834985,0.3834985,123000,train,
0.006862789,0.324102,0.6672416,0.7743163,,123000,eval,0.7743163
0.0022689973,0.1708153,0.28426555,0.39122337,0.39122337,124000,train,
0.006889738,0.32590923,0.6703961,0.77723765,,124000,eval,0.77723765
0.0022628824,0.17121446,0.28435874,0.3910835,0.3910835,125000,train,
0.0075153224,0.31897587,0.69474196,0.8013503,,125000,eval,0.8013503
0.0021413262,0.1657401,0.27280632,0.37929824,0.37929824,126000,train,
0.0066544344,0.320837,0.6535587,0.75993425,,126000,eval,0.75993425
0.0021823368,0.16660748,0.275724,0.381984,0.381984,127000,train,
0.0066848444,0.31487834,0.64912057,0.75526476,,127000,eval,0.75526476
0.0021740722,0.16659407,0.27529737,0.381326,0.381326,128000,train,
