,auc_1,binary_accuracy,loss,lr,recall_1,val_auc_1,val_binary_accuracy,val_loss,val_lr,val_recall_1
15,0.981721043586731,0.9406874775886536,0.1521977335214615,0.006187818478792906,0.9406874775886536,0.9811548590660095,0.9373816847801208,0.157087504863739,0.005975327454507351,0.9373816847801208
16,0.9824873805046082,0.9411249756813049,0.14895379543304443,0.0057601346634328365,0.9411249756813049,0.9794260859489441,0.9326498508453369,0.16416078805923462,0.005544198676943779,0.9326498508453369
17,0.9838143587112427,0.9437852501869202,0.1430233120918274,0.00532666826620698,0.9437852501869202,0.9762070178985596,0.9280757308006287,0.1729595810174942,0.005108952056616545,0.9280757308006287
18,0.9839741587638855,0.9459204077720642,0.13926167786121368,0.004890714772045612,0.9459204077720642,0.9844754934310913,0.9465299844741821,0.13452909886837006,0.00467287003993988,0.9465299844741821
19,0.98561692237854,0.9480730891227722,0.13228417932987213,0.004455595277249813,0.9480730891227722,0.98139888048172,0.9347003102302551,0.1583651453256607,0.004239261616021395,0.9347003102302551
20,0.9859547019004822,0.9493681788444519,0.12828856706619263,0.004024614114314318,0.9493681788444519,0.9850711226463318,0.9484227299690247,0.13060340285301208,0.003811459057033062,0.9484227299690247
21,0.9864197969436646,0.9520984292030334,0.12398048490285873,0.003601064905524254,0.9520984292030334,0.9870253205299377,0.9492113590240479,0.1328647881746292,0.0033926921896636486,0.9492113590240479
22,0.9868810176849365,0.9541636109352112,0.12091010063886642,0.003188156755641103,0.9541636109352112,0.9832382202148438,0.9485804438591003,0.13551311194896698,0.002986153354868293,0.9485804438591003
23,0.9875640273094177,0.954828679561615,0.11726150661706924,0.002789038699120283,0.954828679561615,0.9859468340873718,0.9517350196838379,0.12378055602312088,0.00259494804777205,0.9517350196838379
24,0.9883807897567749,0.9568938612937927,0.1114402785897255,0.002406746381893754,0.9568938612937927,0.9885801076889038,0.9518927335739136,0.12202806025743484,0.002222052775323391,0.9518927335739136
25,0.9888904094696045,0.9579089283943176,0.10872446000576019,0.0020441934466362,0.9579089283943176,0.9858196377754211,0.9504731893539429,0.12477485090494156,0.001870283973403275,0.9504731893539429
26,0.989103376865387,0.9588714838027954,0.10754090547561646,0.0017041326500475407,0.9588714838027954,0.9891852140426636,0.9515773057937622,0.11827133595943451,0.0015423475997522473,0.9515773057937622
27,0.9888661503791809,0.9599565863609314,0.10519693046808243,0.0013891570270061493,0.9599565863609314,0.9889816641807556,0.9572555422782898,0.1097208708524704,0.001240718411281705,0.9572555422782898
28,0.9903154969215393,0.9620742797851562,0.0983736664056778,0.0011016619391739368,0.9620742797851562,0.9868611097335815,0.9583595991134644,0.11070933192968369,0.0009677065536379814,0.9583595991134644
29,0.9906828999519348,0.9633343815803528,0.09605136513710022,0.000843835121486336,0.9633343815803528,0.9902180433273315,0.9586750864982605,0.10283244401216507,0.0007253785151988268,0.9586750864982605
30,0.9906514883041382,0.9646819829940796,0.09470043331384659,0.0006176399765536189,0.9646819829940796,0.9861733913421631,0.9536277651786804,0.11862242966890335,0.0005155819235369563,0.9536277651786804
31,0.9906384348869324,0.9640694260597229,0.09360247105360031,0.0004247957840561867,0.9640694260597229,0.9884546399116516,0.9561514258384705,0.10931500792503357,0.0003399169654585421,0.9561514258384705
32,0.9911583065986633,0.9653470516204834,0.09069129079580307,0.000266772840404883,0.9653470516204834,0.9886385202407837,0.9616719484329224,0.10355965793132782,0.00019971652363892645,0.9616719484329224
33,0.9915484189987183,0.9660646319389343,0.08902107924222946,0.00014477240620180964,0.9660646319389343,0.9888865947723389,0.9582018852233887,0.10210077464580536,9.60493489401415e-05,0.9582018852233887
