loss,compile_metrics,epoch,step,auc_5,binary_accuracy,lr,recall_5
0.273878276348114,0,2,4572,0.951174795627594,0.8780282139778137,0.009921197779476643,0.8780282139778137
0.27354493737220764,0,2,4672,0.9513160586357117,0.8784059882164001,0.00991892535239458,0.8784059882164001
0.27299416065216064,0,2,4772,0.9515519738197327,0.878564715385437,0.00991661474108696,0.878564715385437
0.27372899651527405,0,2,4872,0.9512746930122375,0.8782186508178711,0.009914266876876354,0.8782186508178711
0.2733495533466339,0,2,4972,0.9514608979225159,0.8786581158638,0.009911877103149891,0.8786581158638
0.27251118421554565,0,2,5072,0.9517049789428711,0.8790181279182434,0.009909451007843018,0.8790181279182434
0.2723296284675598,0,2,5172,0.9518129825592041,0.8791965842247009,0.00990698579698801,0.8791965842247009
0.2726214826107025,0,2,5272,0.9516831636428833,0.8792622089385986,0.00990448147058487,0.8792622089385986
0.22752076387405396,0,3,5358,0.9541015625,0.9375,0.009856623597443104,0.9375
0.2489418387413025,0,3,5458,0.9594253301620483,0.8892326951026917,0.009853698313236237,0.8892326951026917
0.2540266215801239,0,3,5558,0.9570713639259338,0.8893035054206848,0.009850742295384407,0.8893035054206848
0.26064634323120117,0,3,5658,0.9547943472862244,0.8870431780815125,0.009847738780081272,0.8870431780815125
0.25767555832862854,0,3,5758,0.9559565782546997,0.8878584504127502,0.009844698943197727,0.8878584504127502
0.25896090269088745,0,3,5858,0.9557579755783081,0.8866018056869507,0.009841620922088623,0.8866018056869507
0.2575097382068634,0,3,5958,0.9561910033226013,0.8866992592811584,0.009838503785431385,0.8866992592811584
0.25638896226882935,0,3,6058,0.9565871953964233,0.8880171179771423,0.009835349395871162,0.8880171179771423
